changed_comp,multiplier,b6,T100,T365,T10000,logT10000,M10000,NK10000,CTL10000,B10000,t_to_1e5,t_to_1e6,t_to_1e5_plot,t_to_1e6_plot,auc_0_365,auc_0_1000,final_state
Tumor,0.2,1.1712388755757056e-6,816.7218060684544,856.0706521526389,856.080457853505,2.933021592940298,542.8040209321797,222532.53577100285,283.4986671536628,134625.03690619112,NaN,NaN,10000.0,10000.0,279879.4249345223,823490.1755741852,controlled
Tumor,0.2,1.229621205313694e-6,736.3183452877015,766.1525498759977,766.1572039005223,2.8848843675877163,538.3078503319191,223170.5011135553,256.1302689719588,135444.87091884663,NaN,NaN,10000.0,10000.0,251580.91055358213,738090.6318071075,controlled
Tumor,0.2,1.2909136983810517e-6,661.5886736470454,684.1300683501129,684.1323608829687,2.835774481051696,534.2066146082979,223755.63356728293,230.7275185418997,136201.4577901476,NaN,NaN,10000.0,10000.0,225537.79118562842,659961.76997256,controlled
Tumor,0.2,1.3552614166593774e-6,592.3294463669661,609.2919718710754,609.293087334362,2.7855384508192116,530.4646536646089,224292.18970551618,207.17832399458504,136899.17619621227,NaN,NaN,10000.0,10000.0,201590.27833194382,588491.3556128447,controlled
Tumor,0.2,1.4228166528785383e-6,528.332611282526,541.0390438140871,541.0396094581761,2.7340310236981265,527.0519815673904,224783.77875538214,185.38657523515906,137541.75864766038,NaN,NaN,10000.0,10000.0,179599.0264076519,523159.1487280312,controlled
Tumor,0.2,1.4937392910502137e-6,469.38606020948606,478.8565966944983,478.85685975363646,2.6811117076046362,523.942841685408,225233.52308573556,165.2673513033911,138132.45995474805,NaN,NaN,10000.0,10000.0,159440.31673146994,463514.41472674406,controlled
Tumor,0.2,1.568197184867829e-6,415.2742250786681,422.29438097131344,422.294503647033,2.6266426293262155,521.1147229059173,225644.18385087032,146.7432562423218,138674.1953466814,NaN,NaN,10000.0,10000.0,141002.40163352847,409159.412511386,controlled
Tumor,0.2,1.646366554968472e-6,365.7785878203261,370.95167474705,370.95172989499724,2.5704865828914354,518.5475828901656,226018.24789307118,129.74183338971014,139169.63187980183,NaN,NaN,10000.0,10000.0,124182.69904491014,359737.0513764767,controlled
Tumor,0.2,1.7284324059969565e-6,320.6781695542001,324.4660456587666,324.46606759040685,2.5125057166325555,516.2233001421687,226357.99667863495,114.19359499246906,139621.2631941256,NaN,NaN,10000.0,10000.0,108885.62975362857,314921.585872292,controlled
Tumor,0.2,1.8145889644591558e-6,279.7499915338363,282.5048227263331,282.50483388931855,2.452560468215027,514.1252399621088,226665.55651672746,100.03059478014008,140031.4623243284,NaN,NaN,10000.0,10000.0,95020.94723560548,274411.5180498289,controlled
