direction,b5,b6,T,M,NK,CTL,B,logT,phase,newton_converged,residual_raw,residual_scaled,max_real_eig,stable
up,0.0001,1.8469653886474714e-6,9.714321093468929e6,485744.6724177701,719.02023289955,15.813412221259167,205.7857728995162,6.987412499085253,tumor_dominant,true,7.803464541211724e-10,4.7955357538249856e-14,-0.09450060157295864,true
up,0.0001,1.962354687045552e-6,9.711945506583668e6,485626.12348167534,719.1953855847789,15.817255106129455,205.83598774647777,6.987306281643094,tumor_dominant,true,1.407897798344493e-9,9.21216860253225e-14,-0.09445657829205963,true
up,0.0001,2.0849529403415604e-6,9.709420851974543e6,485500.13555579045,719.3816227245003,15.821341183201042,205.88938046200377,6.987193370590548,tumor_dominant,true,1.0331859812140465e-9,6.133076281501848e-14,-0.09440981903186704,true
up,0.0001,2.215210528522574e-6,9.706737731731778e6,485366.2396442686,719.579655314098,15.825686051283707,205.94615489156388,6.987073340235616,tumor_dominant,true,7.385096978396177e-10,1.0759751953253932e-13,-0.09436015463754702,true
up,0.0001,2.3536059690984453e-6,9.70388614971382e6,485223.93689592334,719.7902411967483,15.830306336950086,206.00652831286553,6.986945737308068,tumor_dominant,true,1.013177097775042e-9,4.477625858808838e-14,-0.09430740561101014,true
up,0.0001,2.5006476749956425e-6,9.700855472711297e6,485072.69666592695,720.0141883123493,15.83521976580526,206.07073236748653,6.986810079106657,tumor_dominant,true,7.439666660502553e-10,2.1241848612851612e-14,-0.09425138147060366,true
up,0.0001,2.6568758222755607e-6,9.697634388989236e6,484911.9544466745,720.2523581927989,15.840445239159944,206.13901406316532,6.986665851513186,tumor_dominant,true,9.522409527562559e-10,8.507966217141186e-14,-0.09419188010644607,true
up,0.0001,2.822864334538752e-6,9.694210864018485e6,484741.10965831875,720.5056697250166,15.84600291657562,206.21163685287715,6.986512506862777,tumor_dominant,true,4.2018655221909285e-10,6.049264060520001e-14,-0.0941286870779118,true
up,0.0001,2.9992229913048705e-6,9.690572093189526e6,484559.52328869386,720.7751032052389,15.851914304798383,206.28888179745593,6.986349461658615,tumor_dominant,true,2.801243681460619e-10,3.9266332556925263e-14,-0.09406157488058019,true
up,0.0001,3.1865996681139003e-6,9.686704451286629e6,484366.5153715036,721.0617047106184,15.85820235365152,206.3710488192211,6.986176094118394,tumor_dominant,true,6.766640581190586e-10,6.213683137163171e-14,-0.09399030216558579,true
up,0.0001,3.385682716577777e-6,9.682593438480342e6,484161.36229072063,721.366590816852,15.864891559517469,206.45845805485735,6.985991741538407,tumor_dominant,true,4.729372449219227e-10,3.465403086632249e-14,-0.09391461291151632,true
up,0.0001,3.597203493126007e-6,9.67822362257622e6,483943.2938980936,721.6909536937121,15.872008077107308,206.55145131668624,6.985795697459865,tumor_dominant,true,1.2632881407625973e-9,9.635404726305279e-14,-0.09383423556304335,true
up,0.0001,3.821939045734755e-6,9.67357857723486e6,483711.49042953365,722.0360666137891,15.879579840292518,206.6503936724642,6.985587208620493,tumor_dominant,true,4.511093720793724e-10,3.696413375056324e-14,-0.09374888209561666,true
up,0.0001,4.060714968509634e-6,9.668640815852983e6,483465.0792049061,722.4032899137015,15.887636692859532,206.75567515496908,6.985365471672694,tumor_dominant,true,8.521965355612338e-10,1.9681612874884737e-14,-0.09365824705409737,true
up,0.0001,4.31440843460865e-6,9.6633917207681e6,483203.1310943447,722.7940774514909,15.896210530145362,206.86771261391564,6.98512962964768,tumor_dominant,true,1.7644197214394808e-10,3.732705316060563e-14,-0.09356200651104335,true
up,0.0001,4.58395141864735e-6,9.657811467417687e6,482924.6567326885,723.2099836089125,15.905335452622698,206.98695172418346,6.98487876814277,tumor_dominant,true,4.4929038267582655e-10,1.5433205509925004e-14,-0.09345981697895187,true
up,0.0001,4.870334120423881e-6,9.65187894305055e6,482628.60246193246,723.6526708930816,15.915047932628209,207.1138691659757,6.984611911206605,tumor_dominant,true,1.1168594937771559e-9,8.617020803039148e-14,-0.09335131426150337,true
up,0.0001,5.174608602541527e-6,9.645571659549056e6,482313.8459796561,724.1239181984159,15.925386995570054,207.24897499440374,6.984328016894289,tumor_dominant,true,8.003553375601768e-10,1.3623865758974912e-13,-0.09323611222706824,true
up,0.0001,5.497892655292072e-6,9.638865659879534e6,481979.19166932465,724.6256297972227,15.936394417113227,207.3928152181045,6.984025972461337,tumor_dominant,true,1.724401954561472e-9,5.3388451154788187e-14,-0.09311380151909682,true
up,0.0001,5.841373902997888e-6,9.631735417639898e6,481623.36558593746,725.1598451357407,15.948114938026267,207.545974608936,6.983704589161794,tumor_dominant,true,9.458744898438454e-10,8.63953069102706e-14,-0.09298394819155475,true
up,0.0001,6.206314166898218e-6,9.624153729120584e6,481245.0100678897,725.7287495221332,15.96059649858593,207.7090797675724,6.983362596611825,tumor_dominant,true,1.0077201295644045e-9,2.6944161430724427e-14,-0.09284609225561016,true
up,0.0001,6.594054100606915e-6,9.61609159723636e6,480842.677942901,726.3346858040303,15.973890494678981,207.88280247300762,6.9829986366756325,tumor_dominant,true,9.858922567218542e-10,1.1237835949322321e-13,-0.09269974615355836,true
up,0.0001,7.006018115170941e-6,9.607518106617326e6,480414.82629254146,726.9801671460069,15.988052058020912,208.06786334764888,6.982611256825194,tumor_dominant,true,1.1114025255665183e-9,8.447472553599415e-14,-0.09254439312613796,true
up,0.0001,7.443719611822047e-6,9.598400289074205e6,479959.80973607406,727.6678910321059,16.003140363234134,208.26503587390408,6.982198902919536,tumor_dominant,true,1.4606484910473228e-9,2.1250773308129165e-14,-0.09237948549037675,true
up,0.0001,7.908766541645225e-6,9.58870297856537e6,479475.8731900776,728.400754635528,16.019218964900904,208.47515080305843,6.981759911342314,tumor_dominant,true,1.5115801943466067e-9,5.4917828805545396e-14,-0.09220444280832829,true
up,0.0001,8.402867312587614e-6,9.578388654696694e6,478961.14405544166,729.18187171736,16.0363561681387,208.6991010028961,6.981292500428712,tumor_dominant,true,9.022187441587448e-10,2.935420974100898e-14,-0.09201864993889985,true
up,0.0001,8.927837065508477e-6,9.567417273674902e6,478413.62377779937,730.0145912390838,16.054625436747795,208.93784679709776,6.980794761103633,tumor_dominant,true,6.548361852765083e-11,5.0934527996892875e-14,-0.0918214549681628,true
up,0.0001,9.485604342325593e-6,9.555746085508363e6,477831.178721162,730.9025179003336,16.074105843565654,209.1924218571111,6.980264646642755,tumor_dominant,true,1.2660166248679161e-9,4.658361256580701e-14,-0.09161216699962318,true
up,0.0001,1.0078218170754866e-5,9.543329436104925e6,477211.5302872947,731.8495348445217,16.094882568345472,209.4639397161423,6.979699961455918,tumor_dominant,true,8.403731044381857e-10,3.9666878437891346e-14,-0.09139005379821138,true
up,0.0001,1.0707855591669263e-5,9.530118552750845e6,476552.24420508463,732.8598288115016,16.117047449277774,209.75360098540298,6.979098348778339,tumor_dominant,true,1.3751559890806675e-9,3.3502226119625966e-14,-0.09115433926978697,true
up,0.0001,1.1376829656730377e-5,9.516061311262814e6,475850.71890459483,733.9379180593619,16.140699595213313,210.06270136508167,6.978457277138768,tumor_dominant,true,1.0877556633204222e-9,9.701649273907183e-14,-0.09090420075650299,true
