b6,T_up,logT_up,eig_up,res_up,phase_up,T_down,logT_down,eig_down,res_down,phase_down,hysteresis_gap
1.3641590460629988e-6,9.724254461591208e6,6.987856359478382,-0.0946849452395695,7.043713423281473e-14,tumor_dominant,599.740079455097,2.7786866076515797,-0.0365752092935975,1.4549557067448208e-9,controlled,4.209169751826803
1.4493849827243648e-6,9.722501759062588e6,6.987778075064083,-0.09465238757803032,8.229954637567728e-14,tumor_dominant,516.6998644976826,2.7140780513100067,-0.038590536342555534,7.989071874469752e-10,controlled,4.273700023754077
1.5399354160423085e-6,9.720639201795718e6,6.987694868522082,-0.0946178038669798,3.8298449155926726e-14,tumor_dominant,442.8095642381465,2.6471966571819148,-0.04056874763919247,6.465538004941288e-10,controlled,4.340498211340167
1.6361429943367788e-6,9.718659880613945e6,6.987606428277601,-0.09458106852785578,5.2391147827350445e-14,tumor_dominant,377.24798147009994,2.577776619077944,-0.042507695480153734,8.057055932160854e-9,controlled,4.409829809199657
1.7383611481559481e-6,9.716556448699722e6,6.987512422760247,-0.09454204825866722,4.245024654978601e-14,tumor_dominant,319.29622467997507,2.5055518196806275,-0.04440324681578153,3.663590536349625e-9,controlled,4.481960603079619
1.8469653886474714e-6,9.714321093468929e6,6.987412499085253,-0.09450060157295864,4.7955357538249856e-14,tumor_dominant,268.3098809909849,2.43025228798684,-0.046249279795357354,4.965234533981586e-9,controlled,4.557160211098413
1.962354687045552e-6,9.711945506583668e6,6.987306281643094,-0.09445657829205963,9.21216860253225e-14,tumor_dominant,223.69944359346707,2.3516019970093107,-0.048037645561656885,8.035255182133677e-9,controlled,4.635704284633784
2.0849529403415604e-6,9.709420851974543e6,6.987193370590548,-0.09440981903186704,6.133076281501848e-14,tumor_dominant,184.91629064169967,2.269317445854859,-0.04975808769893003,6.0591575271978545e-9,controlled,4.717875924735689
2.215210528522574e-6,9.706737731731778e6,6.987073340235616,-0.09436015463754702,1.0759751953253932e-13,tumor_dominant,151.44294113611588,2.183107319179529,-0.05139818110347359,4.608861476423857e-9,controlled,4.8039660210560875
2.3536059690984453e-6,9.70388614971382e6,6.986945737308068,-0.09430740561101014,4.477625858808838e-14,tumor_dominant,122.786530637304,2.092673391145029,-0.0529433676165271,1.5040728235542937e-9,controlled,4.8942723461630395
2.5006476749956425e-6,9.700855472711297e6,6.986810079106657,-0.09425138147060366,2.1241848612851612e-14,tumor_dominant,98.4748665134244,1.9977133650335845,-0.05437725859372226,2.9473064012651698e-9,controlled,4.989096714073073
2.6568758222755607e-6,9.697634388989236e6,6.986665851513186,-0.09419188010644607,8.507966217141186e-14,tumor_dominant,78.05437501016932,1.8979259095648497,-0.055682421754479135,2.47553391787178e-9,controlled,5.088739941948336
2.822864334538752e-6,9.694210864018485e6,6.986512506862777,-0.0941286870779118,6.049264060520001e-14,tumor_dominant,61.08971174311698,1.7930196436007866,-0.05684203172522357,4.21940446825564e-9,controlled,5.193492863261991
2.9992229913048705e-6,9.690572093189526e6,6.986349461658615,-0.09406157488058019,3.9266332556925263e-14,tumor_dominant,47.16456845667173,1.6827276734620928,-0.0578425892565987,3.335987991907177e-9,controlled,5.303621788196522
3.1865996681139003e-6,9.686704451286629e6,6.986176094118394,-0.09399030216558579,6.213683137163171e-14,tumor_dominant,35.88340304154118,1.5668309843441945,-0.05867739162341091,5.886798365145118e-9,controlled,5.4193451097742
3.385682716577777e-6,9.682593438480342e6,6.985991741538407,-0.09391461291151632,3.465403086632249e-14,tumor_dominant,26.87374654175402,1.4451953466485303,-0.05934942944937274,2.3130156324190915e-9,controlled,5.540796394889877
3.597203493126007e-6,9.67822362257622e6,6.985795697459865,-0.09383423556304335,9.635404726305279e-14,tumor_dominant,19.78879856074504,1.3178293910382535,-0.05987190374452101,6.222127352066339e-9,controlled,5.6679663064216115
3.821939045734755e-6,9.67357857723486e6,6.985587208620493,-0.09374888209561666,3.696413375056324e-14,tumor_dominant,14.309980041433558,1.1849746245388277,-0.06026562874761789,9.149501071471987e-9,controlled,5.800612584081666
4.060714968509634e-6,9.668640815852983e6,6.985365471672694,-0.09365824705409737,1.9681612874884737e-14,tumor_dominant,10.1491479939287,1.04724168032828,-0.06055463778602622,1.8445625926616685e-9,controlled,5.938123791344413
4.31440843460865e-6,9.6633917207681e6,6.98512962964768,-0.09356200651104335,3.732705316060563e-14,tumor_dominant,7.0502374758249635,0.9058086919106212,-0.060762195895108326,1.7872806941408337e-9,controlled,6.079320937737059
4.58395141864735e-6,9.657811467417687e6,6.98487876814277,-0.09345981697895187,1.5433205509925004e-14,tumor_dominant,4.790080367378662,0.7626845918564251,-0.06090844413313559,7.2251753595116835e-9,controlled,6.222194176286345
4.870334120423881e-6,9.65187894305055e6,6.984611911206605,-0.09335131426150337,8.617020803039148e-14,tumor_dominant,3.1783029765294417,0.6209999282877016,-0.061009643170941916,1.7448968718706294e-9,controlled,6.363611982918904
5.174608602541527e-6,9.645571659549056e6,6.984328016894289,-0.09323611222706824,1.3623865758974912e-13,tumor_dominant,2.0562478326545546,0.4851885684868362,-0.06107837352067291,2.4549581914777937e-9,controlled,6.499139448407453
5.497892655292072e-6,9.638865659879534e6,6.984025972461337,-0.09311380151909682,5.3388451154788187e-14,tumor_dominant,1.2949738032444467,0.3607777325001584,-0.06112411226377021,8.65330834267099e-9,controlled,6.623248239961179
5.841373902997888e-6,9.631735417639898e6,6.983704589161794,-0.09298394819155475,8.63953069102706e-14,tumor_dominant,0.7924845153573408,0.25345541263891275,-0.06115386972428023,4.7091768262674805e-9,controlled,6.730249176522881
6.206314166898218e-6,9.624153729120584e6,6.983362596611825,-0.09284609225561016,2.6944161430724427e-14,tumor_dominant,0.4703942264548224,0.1674337887756226,-0.06117274604560759,1.4800112801971466e-9,controlled,6.815928807836203
6.594054100606915e-6,9.61609159723636e6,6.9829986366756325,-0.09269974615355836,1.1237835949322321e-13,tumor_dominant,0.2702881400623828,0.103902243354004,-0.06118438880567407,1.9938139472763794e-9,controlled,6.879096393321628
7.006018115170941e-6,9.607518106617326e6,6.982611256825194,-0.09254439312613796,8.447472553599415e-14,tumor_dominant,0.15003409305097523,0.060710715313992115,-0.06119135206459255,5.754156207065658e-10,controlled,6.921900541511202
7.443719611822047e-6,9.598400289074205e6,6.982198902919536,-0.09237948549037675,2.1250773308129165e-14,tumor_dominant,0.08027917304893263,0.03353600330828236,-0.06119537869254676,4.167886869612985e-10,controlled,6.948662899611254
7.908766541645225e-6,9.58870297856537e6,6.981759911342314,-0.09220444280832829,5.4917828805545396e-14,tumor_dominant,0.041310621703478934,0.017580298357157628,-0.06119762379082922,5.455508088650149e-10,controlled,6.9641796129851565
8.402867312587614e-6,9.578388654696694e6,6.981292500428712,-0.09201864993889985,2.935420974100898e-14,tumor_dominant,0.02039398618475311,0.008767890378292119,-0.0611988273747254,4.4746897535521523e-10,controlled,6.97252461005042
8.927837065508477e-6,9.567417273674902e6,6.980794761103633,-0.0918214549681628,5.0934527996892875e-14,tumor_dominant,0.009633741363604863,0.004163856007788881,-0.06119944589076577,3.386629720849411e-9,controlled,6.976630905095844
9.485604342325593e-6,9.555746085508363e6,6.980264646642755,-0.09161216699962318,4.658361256580701e-14,tumor_dominant,0.004342522328022902,0.0018818504466569424,-0.06119975024852427,1.6462615611694326e-9,controlled,6.978382796196098
1.0078218170754866e-5,9.543329436104925e6,6.979699961455918,-0.09139005379821138,3.9666878437891346e-14,tumor_dominant,0.0018623911706663928,0.0008080739670048927,-0.061199892796892474,1.6794740386987665e-9,controlled,6.9788918874889125
1.0707855591669263e-5,9.530118552750845e6,6.979098348778339,-0.09115433926978697,3.3502226119625966e-14,tumor_dominant,0.000757582938863133,0.00032888952510984657,-0.06119995604633192,4.127297870451544e-9,controlled,6.978769459253229
1.1376829656730377e-5,9.516061311262814e6,6.978457277138768,-0.09090420075650299,9.701649273907183e-14,tumor_dominant,0.00029132959223731415,0.00012650440797959975,-0.061199983049303214,2.000671078503221e-9,controlled,6.978330772730788
