b6,tumor0,nk0,T365,Tfinal,logTfinal,final_regime,regime_code
1.5e-6,25.118864315095795,199.52623149688787,473.79795943238287,473.7786414246765,2.6764911733827095,controlled,0
1.5e-6,37.583740428844415,199.52623149688787,473.80635352134794,473.7786434220308,2.67649117520975,controlled,0
1.5e-6,56.23413251903491,199.52623149688787,473.8280333728997,473.7786539460038,2.6764911848363484,controlled,0
1.5e-6,84.13951416451951,199.52623149688787,473.99557445717784,473.7786631839996,2.6764911932866244,controlled,0
1.5e-6,125.89254117941675,199.52623149688787,9.721460688872289e6,9.721460689612174e6,6.9877315690422055,tumor_dominant,2
1.5e-6,188.36490894898,199.52623149688787,9.721460689541271e6,9.721460689612113e6,6.987731569042202,tumor_dominant,2
1.5e-6,281.8382931264455,199.52623149688787,9.721460689589519e6,9.721460689612154e6,6.987731569042205,tumor_dominant,2
1.5e-6,421.6965034285823,199.52623149688787,9.721460689600099e6,9.721460689612115e6,6.987731569042203,tumor_dominant,2
1.5e-6,630.957344480193,199.52623149688787,9.721460689606912e6,9.72146068961205e6,6.987731569042199,tumor_dominant,2
1.5e-6,944.0608762859235,199.52623149688787,9.721460689607807e6,9.721460689612055e6,6.9877315690422,tumor_dominant,2
1.5e-6,1412.537544622754,199.52623149688787,9.721460689609908e6,9.721460689612169e6,6.987731569042205,tumor_dominant,2
1.5e-6,2113.489039836648,199.52623149688787,9.721460689609341e6,9.721460689612055e6,6.9877315690422,tumor_dominant,2
1.5e-6,3162.2776601683795,199.52623149688787,9.721460689614493e6,9.721460689612065e6,6.9877315690422,tumor_dominant,2
1.5e-6,4731.512589614803,199.52623149688787,9.721460689609768e6,9.721460689612055e6,6.9877315690422,tumor_dominant,2
1.5e-6,7079.457843841381,199.52623149688787,9.721460689609166e6,9.721460689612126e6,6.987731569042203,tumor_dominant,2
1.5e-6,10592.537251772897,199.52623149688787,9.721460689614046e6,9.721460689612044e6,6.987731569042199,tumor_dominant,2
1.5e-6,15848.93192461114,199.52623149688787,9.721460689609876e6,9.721460689612057e6,6.9877315690422,tumor_dominant,2
1.5e-6,23713.737056616552,199.52623149688787,9.721460689613858e6,9.721460689612044e6,6.987731569042199,tumor_dominant,2
1.5e-6,35481.33892335753,199.52623149688787,9.721460689614061e6,9.721460689612085e6,6.987731569042201,tumor_dominant,2
1.5e-6,53088.444423098794,199.52623149688787,9.721460689613795e6,9.721460689612044e6,6.987731569042199,tumor_dominant,2
1.5e-6,79432.82347242821,199.52623149688787,9.721460689609142e6,9.721460689612066e6,6.9877315690422,tumor_dominant,2
1.5e-6,118850.22274370189,199.52623149688787,9.72146068960863e6,9.721460689612081e6,6.987731569042201,tumor_dominant,2
1.5e-6,177827.94100389228,199.52623149688787,9.721460689608853e6,9.721460689612105e6,6.987731569042202,tumor_dominant,2
1.5e-6,266072.50597988087,199.52623149688787,9.721460689610424e6,9.72146068961215e6,6.987731569042204,tumor_dominant,2
1.5e-6,398107.1705534969,199.52623149688787,9.721460689615358e6,9.721460689612059e6,6.9877315690422,tumor_dominant,2
1.5e-6,595662.1435290109,199.52623149688787,9.721460689615337e6,9.721460689612059e6,6.9877315690422,tumor_dominant,2
1.5e-6,891250.9381337459,199.52623149688787,9.721460689608637e6,9.721460689612087e6,6.987731569042201,tumor_dominant,2
1.5e-6,1.333521432163324e6,199.52623149688787,9.72146068960929e6,9.721460689612066e6,6.9877315690422,tumor_dominant,2
1.5e-6,1.9952623149688789e6,199.52623149688787,9.721460689608732e6,9.72146068961208e6,6.987731569042201,tumor_dominant,2
1.5e-6,2.985382618917957e6,199.52623149688787,9.721460689608695e6,9.721460689612092e6,6.987731569042201,tumor_dominant,2
1.5e-6,4.466835921509635e6,199.52623149688787,9.72146068961102e6,9.721460689612051e6,6.987731569042199,tumor_dominant,2
1.5e-6,6.683439175686149e6,199.52623149688787,9.721460689613272e6,9.721460689612046e6,6.987731569042199,tumor_dominant,2
1.5e-6,1.0e7,199.52623149688787,9.72146068961552e6,9.721460689612048e6,6.987731569042199,tumor_dominant,2
1.5e-6,1.0,251.18864315095797,473.78467205831043,473.77863977242515,2.6764911718713447,controlled,0
1.5e-6,1.4962356560944334,251.18864315095797,473.7851884190048,473.77863793653233,2.676491170191998,controlled,0
