b5,b6,T365,T10000,logT10000,M10000,NK10000,CTL10000,B10000,phase,phase_code
0.00013111339374215642,2.3453725312305292e-7,9.748596239797996e6,9.748596396822501e6,6.9889421350175995,487455.10696099524,716.5024871536857,15.758100492177647,156.41724272520202,tumor_dominant,2
0.00013111339374215642,2.5398189184482656e-7,9.748291959294e6,9.748292176415414e6,6.988928581959629,487439.92555409844,716.5247557106343,15.758589070065344,156.42210709189376,tumor_dominant,2
0.00013111339374215642,2.7503861551253435e-7,9.747962408906763e6,9.747962723255264e6,6.988913904302246,487423.4849647021,716.5488728366099,15.759118205946546,156.42738302440316,tumor_dominant,2
0.00013111339374215642,2.978410762814096e-7,9.747605462501839e6,9.747605943494903e6,6.988898008642268,487405.68070401944,716.5749921984155,15.759691271341097,156.4330955417455,tumor_dominant,2
0.00013111339374215642,3.225340069253865e-7,9.747218782100074e6,9.747219569367286e6,6.9888807938039745,487386.3996041287,716.603280273505,15.76031191879437,156.43928063250846,tumor_dominant,2
0.00013111339374215642,3.4927413949127666e-7,9.74679974423948e6,9.746801144709786e6,6.98886215018972,487365.5190955922,716.6339174243142,15.760984105461949,156.44598254552236,tumor_dominant,2
0.00013111339374215642,3.7823120011525856e-7,9.746345242733775e6,9.746348009277724e6,6.988841959075808,487342.9064246931,716.6670990637956,15.761712118767715,156.4532371711188,tumor_dominant,2
0.00013111339374215642,4.095889863160102e-7,9.745851028597144e6,9.745857281748308e6,6.988820091849074,487318.4178051923,716.7030369200517,15.762500604007942,156.461099953963,tumor_dominant,2
0.00013111339374215642,4.4354653360234233e-7,9.745308959046744e6,9.745325841298271e6,6.988796409178829,487291.89749910106,716.7419604087809,15.763354594649913,156.4696097218246,tumor_dominant,2
0.00013111339374215642,4.803193788000626e-7,9.744692240864918e6,9.744750307643235e6,6.988770760118965,487263.1768204359,716.7841181228831,15.76427954479106,156.47883207000956,tumor_dominant,2
0.00013111339374215642,5.201409281167251e-7,9.74384527647062e6,9.744127019398222e6,6.98874298113373,487232.07305545587,716.829779449687,15.765281364844418,156.48882029047715,tumor_dominant,2
0.00013111339374215642,5.63263938627689e-7,9.741160000641016e6,9.743452010626521e6,6.988712895041007,487198.38829228684,716.8792363269189,15.766366459942716,156.4996391032719,tumor_dominant,2
0.00013111339374215642,6.099621225868601e-7,9.699640408438278e6,9.742720985415533e6,6.988680309865571,487161.9081522318,716.9328051498743,15.7675417718764,156.51134696025653,tumor_dominant,2
0.00013111339374215642,6.605318847450488e-7,6.632581635509404e6,9.741929290320192e6,6.988645017594857,487122.40041438927,716.9908288431931,15.768814824313688,156.5240403055995,tumor_dominant,2
0.00013111339374215642,7.152942037031436e-7,11869.034589671935,9.741071884475587e6,6.98860679282797,487079.613524481,717.0536791121812,15.770193772575423,156.53778242038067,tumor_dominant,2
0.00013111339374215642,7.745966692414835e-7,4621.127373305899,9.740143307203574e6,6.988565391309616,487033.2749779652,717.1217588897049,15.77168745695744,156.55267137079332,tumor_dominant,2
0.00013111339374215642,8.388156885568838e-7,3183.709836103472,3457.306572043737,3.5388634899920723,672.8652692553737,205536.3385257594,897.072457173135,92403.1255753994,intermediate,1
0.00013111339374215642,9.083588754108175e-7,2478.4473668379605,2503.599299794744,3.3987382548308855,625.1799341193653,211457.63991550638,707.2062691747524,98068.6933051249,intermediate,1
0.00013111339374215642,9.836676373532668e-7,2016.4244350220022,2021.1342858521634,3.3058099928316915,601.0566959767914,214585.00845316003,597.0039922190641,101207.91772715995,intermediate,1
0.00013111339374215642,1.0652199774439907e-6,1672.2360787548341,1673.321905959847,3.2238389593573564,583.6660815056732,216897.55451894843,510.86242043726304,103598.62038744849,intermediate,1
0.00013111339374215642,1.1535335282543925e-6,1398.4040787697854,1398.68170557323,3.146029286228622,569.9340773990506,218759.11632740972,438.5449837896177,105567.69400410155,intermediate,1
0.00013111339374215642,1.2491688374075696e-6,1172.4750279567913,1172.550301677949,3.06950170942074,558.627502906277,220316.03822478116,375.9674866384721,107246.06006169484,intermediate,1
0.00013111339374215642,1.3527329255106409e-6,982.1489350826082,982.1700410154745,2.9926286363349726,549.1084958159776,221644.10196978974,321.0454563972066,108701.01894771343,controlled,0
0.00013111339374215642,1.4648831390624412e-6,819.9347492275314,819.9407509871612,2.914311814308405,540.9970344480566,222788.49132601757,272.5569790715384,109972.3554386346,controlled,0
0.00013111339374215642,1.5863313227918852e-6,680.8808179771803,680.8825613089122,2.8337095837953385,534.0441259507883,223778.87936324824,229.71012218906188,111086.02082917745,controlled,0
0.00013111339374215642,1.7178483379099004e-6,561.4856316929117,561.4861453573119,2.750111829771898,528.0743074502807,224636.28829897137,191.94428376393796,112060.37800127415,controlled,0
0.00013111339374215642,1.8602689549533346e-6,459.12370307948737,459.1238016358129,2.6628746993628862,522.9561783907237,225376.62002920738,158.82693508023024,112909.43425696515,controlled,0
0.00013111339374215642,2.0144971522769457e-6,371.7202449049578,371.72027512071503,2.5713830180115433,518.5860088695727,226012.63924530623,129.9954399697633,113644.66763443653,controlled,0
0.00013111339374215642,2.1815118538242366e-6,297.5564363789532,297.5564348072297,2.4750264359973015,514.8778170147435,226555.13758145887,105.12275737986597,114276.07935570666,controlled,0
0.00013111339374215642,2.3623731425962365e-6,235.14835940208258,235.1483594518975,2.3731849328326295,511.7574157675939,227013.6668575135,83.896810642813,114812.86818675442,controlled,0
0.00013111339374215642,2.5582289892565713e-6,183.17031989739556,183.1703295170747,2.2652196651392127,509.15852194863896,227396.98358287464,66.00875720817736,115263.81062841818,controlled,0
0.00013111339374215642,2.770322538580971e-6,140.40654538187667,140.40654898758723,2.150469523487107,507.0203297455903,227713.32030843882,51.14716597495921,115637.47660855541,controlled,0
0.00013111339374215642,3.000000000000001e-6,105.7221025805741,105.72210497858836,2.0282543826479027,505.2861084264152,227970.5393258844,38.99648443671754,115942.33084099933,controlled,0
0.00015013107289081726,2.0000000000000002e-7,9.749532900853766e6,9.749532967097918e6,6.988983856687769,487501.84430127684,716.4339015093296,15.756564804529424,136.59559180058588,tumor_dominant,2
0.00015013107289081726,2.1658127948788786e-7,9.749306339468656e6,9.749306421402255e6,6.988973765057854,487490.53907113435,716.4504810644497,15.756928563100598,136.59875260063166,tumor_dominant,2
0.00015013107289081726,2.3453725312305292e-7,9.74906098352669e6,9.749061087556062e6,6.9889628362326945,487478.2962619383,716.4684364808128,15.757322508276385,136.60218311159718,tumor_dominant,2
0.00015013107289081726,2.5398189184482656e-7,9.74879527067599e6,9.748795406853486e6,6.988951000711053,487465.0380900011,716.487882052561,15.75774914770448,136.60589899377985,tumor_dominant,2
0.00015013107289081726,2.7503861551253435e-7,9.74850750641698e6,9.748507691180935e6,6.988938183213627,487450.68031381257,716.5089415887101,15.758211197782801,136.60991984561275,tumor_dominant,2
0.00015013107289081726,2.978410762814096e-7,9.748195850699207e6,9.748196112257235e6,6.988924302201253,487435.1316970804,716.5317492087635,15.758711601091525,136.61427649805836,tumor_dominant,2
0.00015013107289081726,3.225340069253865e-7,9.74785830040167e6,9.747858689975506e6,6.98890926935266,487418.29342697933,716.5564502054851,15.759253545378463,136.61899387416523,tumor_dominant,2
0.00015013107289081726,3.4927413949127666e-7,9.747492662683845e6,9.747493279773176e6,6.9888929889984,487400.0584838523,716.5832019805528,15.75984048404584,136.62410384857677,tumor_dominant,2
0.00015013107289081726,3.7823120011525856e-7,9.747096504682232e6,9.747097558946643e6,6.988875357507167,487380.31095828104,716.6121750594216,15.760476158440666,136.6296378924364,tumor_dominant,2
0.00015013107289081726,4.095889863160102e-7,9.74666703228703e6,9.746669011823073e6,6.988856262620475,487358.92531110137,716.6435541922098,15.761164621995494,136.63563120750098,tumor_dominant,2
0.00015013107289081726,4.4354653360234233e-7,9.74620072182891e6,9.746204913692346e6,6.988835582731264,487335.7655715533,716.677539548094,15.761910266433093,136.64212277695367,tumor_dominant,2
0.00015013107289081726,4.803193788000626e-7,9.745691929168941e6,9.745702313394755e6,6.988813186101631,487310.6844683481,716.7143480113415,15.762717850206293,136.6491541252765,tumor_dominant,2
0.00015013107289081726,5.201409281167251e-7,9.745126256013095e6,9.745158014451033e6,6.9887889300144606,487283.5224879893,716.7542145878633,15.763592529353634,136.65677054076133,tumor_dominant,2
0.00015013107289081726,5.63263938627689e-7,9.744438240739211e6,9.744568554611221e6,6.988762659853242,487254.1068541874,716.7973939319888,15.76453989099752,136.66502111807998,tumor_dominant,2
0.00015013107289081726,6.099621225868601e-7,9.74310770580069e6,9.743930183688313e6,6.988734208103869,487222.250421686,716.8441620040643,15.76556598972129,136.67395592378767,tumor_dominant,2
0.00015013107289081726,6.605318847450488e-7,9.733049657652007e6,9.743238839531679e6,6.988703393271681,487187.7504772374,716.894817870438,15.76667738704763,136.68363003640005,tumor_dominant,2
0.00015013107289081726,7.152942037031436e-7,9.345058450127473e6,9.742490121982016e6,6.988670018706352,487150.3874398154,716.9496856585248,15.767881194306213,136.69411147973045,tumor_dominant,2
0.00015013107289081726,7.745966692414835e-7,57390.29352467801,9.741679264632659e6,6.988633871326445,487109.9234514968,717.0091166808525,15.769185119313363,136.70545806868844,tumor_dominant,2
0.00015013107289081726,8.388156885568838e-7,5966.38066675699,9.740801104218168e6,6.988594720235196,487066.1008496552,717.0734917432187,15.770597516887548,136.7177541561071,tumor_dominant,2
0.00015013107289081726,9.083588754108175e-7,3612.229343715719,9.739850047414575e6,6.988552315217367,487018.6405103129,717.1432236537505,15.772127444011774,136.7310772646898,tumor_dominant,2
0.00015013107289081726,9.836676373532668e-7,2710.934491655093,2766.4505443049943,3.442079868565267,638.3224887526952,209791.88034381563,763.0477130468614,86332.01841769561,intermediate,1
0.00015013107289081726,1.0652199774439907e-6,2173.0118459077016,2181.703812931633,3.338994807107882,609.085153037819,213533.96454552544,634.8334380860753,89732.36952052434,intermediate,1
0.00015013107289081726,1.1535335282543925e-6,1789.4206607759677,1791.2661663348963,3.2534025064347643,589.5632781734008,216107.79691078153,540.7337948291806,92155.96507884156,intermediate,1
0.00015013107289081726,1.2491688374075696e-6,1491.231379037238,1491.6797153918515,3.1739666310605803,574.5839694159916,218125.18994858512,463.4732091479198,94106.26003419697,intermediate,1
0.00015013107289081726,1.3527329255106409e-6,1248.4487255114263,1248.565969353796,3.096759189129968,562.4282874138138,219790.20150761335,397.3175013841553,95750.65916929895,intermediate,1
0.00015013107289081726,1.4648831390624412e-6,1045.5370459820724,1045.569017379856,3.0197678737438616,552.2784457574398,221200.0659454538,339.567180934339,97168.38877183014,intermediate,1
0.00015013107289081726,1.5863313227918852e-6,873.4115060508832,873.4204470043671,2.941720304382342,543.6710204662277,222409.93466829008,288.71563121841416,98403.99157271581,controlled,0
0.00015013107289081726,1.7178483379099004e-6,726.2525204432158,726.2550415633266,2.861686740597053,536.3127518918798,223454.76507004583,243.82188594054634,99485.46549709848,controlled,0
0.00015013107289081726,1.8602689549533346e-6,600.0492689819517,600.0499773676303,2.778910585135143,530.0024978130311,224358.63595797453,204.2413474199955,100432.02320443623,controlled,0
0.00015013107289081726,2.0144971522769457e-6,491.8601917519685,491.8603890760191,2.6927239155436884,524.5930159603514,225139.324222147,169.49223007943326,101257.91960721077,controlled,0
0.00015013107289081726,2.1815118538242366e-6,399.4058879485427,399.40595256346927,2.6025005252165014,519.970296767816,225810.78838828037,139.18256505459095,101974.53856383423,controlled,0
0.00015013107289081726,2.3623731425962365e-6,320.83070418388206,320.83071584816685,2.5076274912445746,516.041535322314,226384.60953180297,112.9678451566312,102591.60014796566,controlled,0
0.00015013107289081726,2.5582289892565713e-6,254.55673584827056,254.5567387329306,2.4074873372808505,512.727836128376,226870.86960707422,90.52579420971969,103117.89452544051,controlled,0
