run_id,replicate,git_sha,source_fingerprint,julia_version,solver,noise_mode,gompertz_mode,dt_initial,dtmax,adaptive,initial_attractor,final_attractor,switched,valid,seed,b6,noise_scale,noise_horizon,relax_horizon,noise_retcode,relaxation_retcode,noise_reached_horizon,relaxation_reached_horizon,min_state_saved,T_min_noise,T_max_noise,low_distance,high_distance,nearest_distance,noise_solver_rejections,relaxation_solver_rejections,noise_end_T,noise_end_M,noise_end_NK,noise_end_CTL,noise_end_B,relax_end_T,relax_end_M,relax_end_NK,relax_end_CTL,relax_end_B
1087,87,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,high,true,true,31260892,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,3.5837275931587294,3.5837275931587294,20312.114714329564,2.920870837092166,1.828918701456639e-11,1.828918701456639e-11,3,0,20312.114714329564,832.6757029953283,104680.54145037374,525.8591230123055,70380.43632944729,9.721460689611796e6,486100.95941680716,718.4943420980869,15.801874054608177,205.63500455175281
1088,88,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,high,true,true,31260893,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,2.2349376637576985,2.2349376637576985,37987.62911194618,2.920870837092139,2.8172785764420552e-11,2.8172785764420552e-11,17,0,37987.62911194618,1501.2606710944433,116070.90528929632,1209.910548470404,72423.83420980473,9.721460689611796e6,486100.9594168072,718.4943420980871,15.801874053852986,205.6350045553482
1089,89,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,31260894,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,25.81934364876829,25.81934364876829,3155.044456106068,3.1431258088110575e-10,2.920870837296407,3.1431258088110575e-10,29,2,663.9130858553527,412.3030739764687,145777.83720311444,204.23990292691664,87336.08851447729,473.77863863403286,523.6889306524724,225270.3314897732,163.61298130229088,138180.92444639833
1090,90,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,high,true,true,31260895,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,12.783385484895662,13.33861434007862,200417.58340372832,2.9208708370921386,4.6890082234377796e-11,4.6890082234377796e-11,14,0,107548.20069542089,4030.8721408189776,48104.56974165242,1456.3673108033902,14050.348034936509,9.721460689611798e6,486100.9594168072,718.494342098087,15.801874052419667,205.63500456204457
1091,91,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,high,true,true,31260896,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,49.385284471370824,325.7149326570796,1.6654573384626447e6,2.920870837092195,7.038223447389842e-11,7.038223447389842e-11,6,0,1.4007501307993098e6,41965.71379342574,6467.346770953278,235.14760126881092,1882.0175448173784,9.721460689611802e6,486100.9594168072,718.4943420980873,15.80187405061738,205.63500457032853
1092,92,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,31260897,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,54.32540963068156,324.541244445751,37374.42440766584,1.2977559531491897e-11,2.920870837082506,1.2977559531491897e-11,10,1,7430.609310598694,1079.093892696466,178200.95673356258,1262.10064396069,75169.12432600571,473.77863929416236,523.6889308420812,225270.33150605357,163.61298116443174,138180.92447399395
1093,93,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,high,true,true,31260898,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,51.29074885750881,346.27658607728625,581071.2383778761,2.9208708370922527,1.7753641690426298e-11,1.7753641690426298e-11,1,0,560484.6803222015,15098.908635108324,23637.577446249274,995.4110321104998,6572.164853619125,9.721460689611796e6,486100.9594168072,718.4943420980869,15.801874054643896,205.6350045513747
1094,94,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,low,false,true,31260899,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,0.00015571306255278416,0.00015571306255278416,807.4199866228699,1.8517088289132343e-11,2.9208708370882284,1.8517088289132343e-11,3,2,602.2543139775122,786.7337100654233,255292.5736646742,67.17956062324458,158636.3664225623,473.7786392768743,523.688930860229,225270.33150691204,163.61298118078216,138180.92447531235
1095,95,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,high,true,true,31260900,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,0.40723137542962373,0.40723137542962373,52669.25843640149,2.920870837092146,3.1468853081537545e-11,3.1468853081537545e-11,18,0,46745.46943078849,1927.4973981990136,97867.01119259185,1764.6110683927534,48056.48250681595,9.721460689611796e6,486100.95941680716,718.4943420980868,15.801874053600121,205.63500455651138
1096,96,7f3bcef5a08e3ee69ec959154bc064e98543e76d,5fccb18775a1c53c589e1a644bcdca5c2966e2c9f1b72779e18c5571bee51811,1.12.5,SOSRI,paper_common,continuation,0.01,0.05,true,low,high,true,true,31260901,1.5e-6,0.3,60.0,1500.0,Success,Success,true,true,23.81807844070279,321.6008962464323,65070.164954032254,2.920870837092154,3.050380379791858e-11,3.050380379791858e-11,7,0,59101.426633227864,2411.5618688485156,101009.59317448318,2000.5322000953554,40115.189071827095,9.721460689611796e6,486100.9594168072,718.4943420980871,15.801874053673545,205.6350045561493
