seed,branch_index,step,q,b6,T,M,NK,CTL,B,logT,residual,max_real_eig,stable,n_unstable,n_imag
low_seed,11,10,-4.6053474555337415,2.4811472792368468e-5,160180.1519606255,8508.879311680756,36692.12724347126,742.5759893656814,11482.591046191212,5.2046114126154865,4.0881231367384155e-16,0.10693103974944088,false,1,0
low_seed,12,11,-4.613886884772116,2.4328375772027198e-5,156896.10259436115,8344.68204971409,37334.78888000743,754.3138030922647,11703.24407721955,5.195614923581204,2.782462085624143e-16,0.10687591412297442,false,1,0
low_seed,13,12,-4.622444076216128,2.3853709381663894e-5,153685.5562337233,8184.159717250127,37985.20836693211,766.1444522418119,11927.313284240088,5.186635879153181,4.146262719052388e-16,0.10680756784030045,false,1,0
low_seed,14,13,-4.631018980670333,2.3387350229270127e-5,150546.74357854426,8027.223859023198,38643.38387133358,778.0658900810397,12154.82904905852,5.177674250657607,2.6254979062216935e-16,0.10672607182769055,false,1,0
low_seed,15,14,-4.639611548145903,2.292917620985027e-5,147477.94084838827,7873.788295308009,39309.31063903577,790.0759768553442,12385.821361475595,5.168730009966407,9.867180911704386e-17,0.10663150136643362,false,1,0
low_seed,16,15,-4.648221727770584,2.247906650688179e-5,144477.46849814407,7723.769057720555,39982.98095294905,802.1724794597369,12620.31979833767,5.159803129381873,6.73365751065211e-16,0.10652393606820201,false,1,0
low_seed,17,16,-4.65684946770195,2.203690159286985e-5,141543.68997454082,7577.084327064051,40664.38409385965,814.353071212349,12858.35350253066,5.150893581521596,2.7484511285900026e-16,0.10640345984376395,false,1,0
low_seed,18,17,-4.665494715043979,2.160256322905653e-5,138675.010512087,7433.654373145038,41353.50630377183,826.6153317334863,13099.951161942758,5.142001339203653,5.771446020481227e-16,0.10627016086516372,false,1,0
low_seed,19,18,-4.674157415766949,2.1175934464339743e-5,135869.8759670151,7293.401496488882,42050.33075191028,838.9567469329822,13345.140988420806,5.133126375332072,2.4279060654940825e-16,0.10612413152150398,false,1,0
low_seed,20,19,-4.682837514630648,2.0756899633457152e-5,133126.7716878506,7156.249971885502,42754.83750349241,851.3747091085319,13593.95069674719,5.1242686627825,4.631934847580542e-16,0.1059654683684823,false,1,0
low_seed,21,20,-4.691534955110931,2.0345344354484288e-5,130444.22142130327,7022.125993700438,43467.003491370684,863.8665171574021,13846.407483663465,5.1154281742881285,3.9891953212588495e-16,0.10579427207184039,false,1,0
low_seed,22,21,-4.700249679329599,1.9941155525696838e-5,127820.78625221134,6890.957622887738,44186.802490647424,876.4293769038169,14102.53800696865,5.106604882325807,4.702201884158036e-16,0.10561064734489858,false,1,0
low_seed,23,22,-4.708981627987628,1.954422132184186e-5,125255.06357633809,6762.674735644685,44914.20509635553,889.060401544047,14362.3683647199,5.097798759002381,2.957063567049579e-16,0.10541470288035965,false,1,0
low_seed,24,23,-4.717730740301731,1.9154431189862285e-5,122745.68610485594,6637.208973650173,45649.1787042975,901.756612211057,14625.924074564184,5.0890097759412205,4.742134958921759e-16,0.10520655127657567,false,1,0
low_seed,25,24,-4.7264969539442765,1.87716758441155e-5,120291.32089940668,6514.49369583121,46391.687495128186,914.5149386603208,14893.230053230078,5.0802379041689445,3.1078452881304667e-16,0.10498630895847734,false,1,0
low_seed,26,25,-4.7352802049865454,1.839584726112565e-5,117890.66843666871,6394.463931604138,47141.69242176331,927.3322200781881,15164.310596208954,5.071483114002347,4.3202489200105497e-16,0.10475409609338303,false,1,0
low_seed,27,26,-4.744080427845333,1.802683867390621e-5,115542.4617014042,6277.056335539166,47899.151200188644,940.205206013937,15439.189357655603,5.062745374935501,5.403480568059531e-16,0.10451003650189644,false,1,0
low_seed,28,27,-4.75289755523289,1.7664544565888357e-5,113245.4653070011,6162.2091433991445,48664.01830374007,953.1305574363815,15717.889330538148,5.054024655527065,1.4104268639074396e-16,0.10425425756412865,false,1,0
low_seed,29,28,-4.7617315181101905,1.730886066448829e-5,110998.47464255839,6049.862129504832,49436.244960919816,966.1048479156806,16000.432827068382,5.045320923287758,3.277503424084767e-16,0.1039868901214685,false,1,0
low_seed,30,29,-4.77058224564353,1.6959683934344283e-5,108800.31504560952,5939.956565381658,50215.7791568041,979.1245649306535,16286.84145944237,5.036634144568045,6.687441678025763e-16,0.10370806837414193,false,1,0
